D_id,G_id,paper
MESH:C536201,126792,9
MESH:C536201,411,1
MESH:C536201,11285,12
MESH:C536201,7018,1
MESH:C536201,91252,5
MESH:C536201,2006,1
MESH:C536201,29940,1
MESH:C536201,3425,2
MESH:C536201,53947,3
MESH:C536201,1758,1
MESH:C536201,259,1
MESH:C536201,2688,1
MESH:C536201,23169,1
MESH:C536201,51025,1
MESH:C536201,1437,1
MESH:C536201,2523,1
MESH:C536201,3636,1
MESH:C536201,5047,1
MESH:C536201,2582,1
MESH:C536201,250,1
MESH:C536201,249,1
MESH:C536201,10058,1
MESH:C536201,26229,1
MESH:C536201,64132,1
MESH:C536201,64131,1
MESH:C536201,56925,1
MESH:C536201,11096,1
MESH:C536201,9507,1
MESH:C536201,7045,1
MESH:C536201,4070,1
MESH:C536201,25987,1
MESH:C536201,102723407,1
MESH:C536201,2524,1
MESH:C536201,3630,1
MESH:C536201,3990,1
MESH:C536201,4035,1
MESH:C536201,2683,1
MESH:C536201,12,1
MESH:C536201,2525,1
MESH:C536201,949,1
MESH:C536201,4023,1
MESH:C536201,213,1
MESH:C536817,126792,2
MESH:C536817,8558,1
MESH:C536817,11285,1
MESH:C536817,91252,1
MESH:C535786,2688,1
MESH:D007873,2153,3
MESH:D007873,5308,1
MESH:D007873,64399,25
MESH:D007873,4524,3
MESH:D007873,1277,2
MESH:D007873,1280,2
MESH:D007873,2147,4
MESH:D007873,7124,1
MESH:D007873,3146,2
MESH:D007873,5973,5
MESH:D007873,3552,1
MESH:D007873,3569,2
MESH:D007873,721,1
MESH:D007873,10482,2
MESH:D007873,7422,3
MESH:D007873,5362,3
MESH:D007873,875,1
MESH:D007873,2688,1
MESH:D007873,5573,1
MESH:D007873,23588,2
MESH:D007873,8195,1
MESH:D007873,7432,1
MESH:D007873,5320,1
MESH:D007873,23013,1
MESH:D007873,80757,1
MESH:D007873,319,1
MESH:D007873,6280,1
MESH:D007873,5004,1
MESH:D007873,345,1
MESH:D007873,3075,1
MESH:D007873,348,1
MESH:D007873,6279,1
MESH:D007873,462,1
MESH:D007873,5624,1
MESH:D007873,2157,1
MESH:D007873,1161,1
MESH:D007873,114131,1
MESH:D007873,3553,2
MESH:D007873,2335,2
MESH:D007873,7431,2
MESH:D007873,633,1
MESH:D007873,4982,1
MESH:D007873,5111,1
MESH:D007873,121340,1
MESH:D007873,8600,1
MESH:D007873,847,1
MESH:D007873,43,1
MESH:D007873,6647,1
MESH:D007873,373156,1
MESH:D007873,3479,1
MESH:D007873,2691,1
MESH:D007873,5741,1
MESH:D007873,6199,1
MESH:D007873,8322,1
MESH:D007873,23554,1
MESH:D007873,4041,1
MESH:D007873,4693,1
MESH:D007873,56925,1
MESH:D007873,3240,1
MESH:D007873,1351,1
MESH:D007873,78996,1
MESH:D007873,10687,1
MESH:D007873,3549,1
MESH:D007873,7040,1
MESH:D007873,2158,1
MESH:D007873,3029,1
MESH:D007873,4018,1
MESH:D007873,1836,1
MESH:D007873,7415,1
MESH:D007873,2520,1
MESH:D007873,23336,1
MESH:D007873,50489,1
MESH:D007873,5447,1
MESH:D007873,909,1
MESH:D007873,3753,1
MESH:D007873,968,1
MESH:D007873,7345,1
MESH:D007873,3655,1
MESH:D007873,3673,1
MESH:D007873,3678,1
MESH:D007873,3683,1
MESH:C562492,4920,12
MESH:C562492,7474,12
MESH:C562492,1855,7
MESH:C562492,1857,5
MESH:C562492,144165,1
MESH:C562492,387,2
MESH:C562492,6259,1
MESH:C562492,650,1
MESH:C562492,6850,1
MESH:C562492,5727,1
MESH:C562492,57379,1
MESH:C562492,5599,2
MESH:C562492,9333,1
MESH:C562492,6714,1
MESH:C562492,5868,1
MESH:C562492,5979,1
MESH:C562492,11005,1
MESH:C562492,2245,1
MESH:C562492,925,1
MESH:C562492,920,1
MESH:C562492,1856,1
MESH:C562492,64399,1
MESH:C562492,3630,1
MESH:C562492,3952,1
MESH:C562492,64093,1
MESH:C562492,56655,1
MESH:C562492,5881,1
MESH:C562492,2239,1
MESH:C562492,2535,1
MESH:C562492,64359,1
MESH:C562492,367,1
MESH:D003398,2263,395
MESH:D003398,2261,203
MESH:D003398,7291,179
MESH:D003398,2260,132
MESH:D003398,4488,57
MESH:D003398,3569,72
MESH:D003398,2077,24
MESH:D003398,860,43
MESH:D003398,9970,69
MESH:D003398,8313,6
MESH:D003398,4745,22
MESH:D003398,6938,23
MESH:D003398,649,23
MESH:D003398,1947,37
MESH:D003398,60529,10
MESH:D003398,2247,30
MESH:D003398,5447,20
MESH:D003398,5310,5
MESH:D003398,3596,24
MESH:D003398,90865,8
MESH:D003398,2056,26
MESH:D003398,5594,11
MESH:D003398,4091,14
MESH:D003398,3552,20
MESH:D003398,5973,23
MESH:D003398,1945,7
MESH:D003398,930,48
