D_id,G_id,label
MESH:C536201,11285,1
MESH:C536817,126792,1
MESH:C535786,4796,1
MESH:D007873,1280,1
MESH:C562492,1855,1
MESH:C562492,7474,1
MESH:D003398,2260,1
MESH:D003398,2261,1
MESH:D003398,2263,1
MESH:D003398,7291,1
MESH:C537734,4613,1
MESH:D012415,1387,1
MESH:D012415,2033,1
MESH:C566815,7021,1
MESH:C562538,6628,1
MESH:D001321,6638,1
MESH:C565865,23203,1
MESH:D017827,4287,1
MESH:D052497,10555,1
MESH:D052497,26580,1
MESH:C566947,55777,1
MESH:D007037,7252,1
MESH:D009190,171023,1
MESH:D009190,23451,1
MESH:D009190,2624,1
MESH:D009190,2782,1
MESH:D009190,54790,1
MESH:D054198,2322,1
MESH:D054198,2782,1
MESH:D054198,4683,1
MESH:D054198,581,1
MESH:D054198,613,1
MESH:D054198,6886,1
MESH:D054198,6887,1
MESH:D054198,8021,1
MESH:D015325,5160,1
MESH:C562694,114327,1
MESH:C562694,1181,1
MESH:C562694,2554,1
MESH:C562694,2562,1
MESH:C562694,785,1
MESH:C562694,8912,1
MESH:D020190,114327,1
MESH:C566112,2200,1
MESH:D054971,6530,1
MESH:D015211,5189,1
MESH:C566422,5192,1
MESH:D006849,440193,1
MESH:D056784,1967,1
MESH:D014927,51422,1
MESH:C580047,1756,1
MESH:D002311,4000,1
MESH:D053840,6331,1
MESH:C566505,3784,1
MESH:C562419,668,1
MESH:C567358,200894,1
MESH:C537581,261734,1
MESH:C537580,4867,1
MESH:D052245,25861,1
MESH:D052245,7401,1
MESH:C536880,3508,1
MESH:D009134,59341,1
MESH:C535419,54332,1
MESH:D000690,54822,1
MESH:D004806,2064,1
MESH:D004806,3417,1
MESH:D004806,7157,1
MESH:C536370,3708,1
MESH:D020734,5071,1
MESH:C565276,65018,1
MESH:D058747,55636,1
MESH:D001289,1815,1
MESH:D001289,1816,1
MESH:D005413,3236,1
MESH:C536603,64802,1
MESH:C566579,2978,1
MESH:C565627,9652,1
MESH:D010673,4149,1
MESH:D010673,55654,1
MESH:D010673,5979,1
MESH:D010673,6390,1
MESH:D010673,6392,1
MESH:D010673,7428,1
MESH:D002607,4359,1
MESH:D002607,5376,1
MESH:C566138,23095,1
MESH:D001506,1028,1
