D_id,fold_id
MESH:C000631847,1
MESH:C531651,1
MESH:C531731,1
MESH:C535289,1
MESH:C535358,1
MESH:C535388,1
MESH:C535396,1
MESH:C535520,1
MESH:C535579,1
MESH:C535607,1
MESH:C535648,1
MESH:C535662,1
MESH:C535668,1
MESH:C535705,1
MESH:C535710,1
MESH:C535712,1
MESH:C535736,1
MESH:C535761,1
MESH:C535765,1
MESH:C535780,1
MESH:C535847,1
MESH:C535903,1
MESH:C535924,1
MESH:C535944,1
MESH:C535970,1
MESH:C535984,1
MESH:C535992,1
MESH:C535994,1
MESH:C536014,1
MESH:C536030,1
MESH:C536042,1
MESH:C536044,1
MESH:C536050,1
MESH:C536132,1
MESH:C536142,1
MESH:C536188,1
MESH:C536213,1
MESH:C536260,1
MESH:C536275,1
MESH:C536300,1
MESH:C536311,1
MESH:C536404,1
MESH:C536430,1
MESH:C536453,1
MESH:C536458,1
MESH:C536508,1
MESH:C536545,1
MESH:C536554,1
MESH:C536573,1
MESH:C536594,1
MESH:C536595,1
MESH:C536596,1
MESH:C536598,1
MESH:C536600,1
MESH:C536644,1
MESH:C536653,1
MESH:C536735,1
MESH:C536801,1
MESH:C536819,1
MESH:C536830,1
MESH:C536842,1
MESH:C536857,1
MESH:C536911,1
MESH:C536928,1
MESH:C536987,1
MESH:C537017,1
MESH:C537067,1
MESH:C537079,1
MESH:C537119,1
MESH:C537183,1
MESH:C537240,1
MESH:C537250,1
MESH:C537262,1
MESH:C537267,1
MESH:C537340,1
MESH:C537342,1
MESH:C537369,1
MESH:C537377,1
MESH:C537387,1
MESH:C537393,1
MESH:C537404,1
MESH:C537419,1
MESH:C537440,1
MESH:C537505,1
MESH:C537559,1
MESH:C537612,1
MESH:C537620,1
MESH:C537656,1
MESH:C537702,1
MESH:C537844,1
MESH:C537847,1
MESH:C537944,1
MESH:C537975,1
MESH:C537990,1
MESH:C537996,1
MESH:C538052,1
MESH:C538132,1
MESH:C538154,1
MESH:C538157,1
MESH:C538162,1
MESH:C538265,1
MESH:C538337,1
MESH:C538363,1
MESH:C562393,1
MESH:C562398,1
MESH:C562407,1
MESH:C562434,1
MESH:C562463,1
MESH:C562503,1
MESH:C562546,1
MESH:C562592,1
MESH:C562625,1
MESH:C562672,1
MESH:C562704,1
MESH:C562707,1
MESH:C562709,1
MESH:C562710,1
MESH:C562717,1
MESH:C562724,1
MESH:C562768,1
MESH:C562840,1
MESH:C562864,1
MESH:C562937,1
MESH:C562938,1
MESH:C562951,1
MESH:C562978,1
MESH:C562999,1
MESH:C563003,1
MESH:C563013,1
MESH:C563150,1
MESH:C563160,1
MESH:C563236,1
MESH:C563324,1
MESH:C563327,1
MESH:C563400,1
MESH:C563401,1
MESH:C563412,1
MESH:C563475,1
MESH:C563477,1
MESH:C563493,1
MESH:C563523,1
MESH:C563672,1
MESH:C563677,1
MESH:C563705,1
MESH:C563801,1
MESH:C563840,1
MESH:C563898,1
MESH:C563918,1
MESH:C563924,1
MESH:C563933,1
MESH:C563969,1
MESH:C564007,1
MESH:C564181,1
MESH:C564190,1
MESH:C564219,1
MESH:C564230,1
MESH:C564254,1
MESH:C564276,1
MESH:C564288,1
MESH:C564306,1
