D_id,G_id,paper,sentence,cre_Cause-associated,cre_Appositive,cre_In-patient,odds_ratio_count,spacy_ore,openie_ore,tagore_positive,tagore_mutation,tagore_mutations,tagore_glof,gpt_paper,gpt_triplet
MESH:C536201,126792,9,7,0,0,0,0,3,1,13,9,0,0,7,26
MESH:C536201,411,1,2,1,0,0,0,2,0,5,0,0,0,1,12
MESH:C536201,11285,12,11,0,0,1,0,0,1,24,7,0,0,9,36
MESH:C536201,7018,1,1,1,0,0,0,0,0,0,0,0,0,0,0
MESH:C536201,91252,5,5,0,0,0,0,0,0,4,3,0,0,4,8
MESH:C536201,2006,1,1,0,0,0,0,0,1,0,0,0,0,0,0
MESH:C536201,29940,1,2,0,0,0,0,0,0,0,0,0,0,0,0
MESH:C536201,3425,2,1,0,0,0,0,0,0,0,0,0,0,0,0
MESH:C536201,53947,3,0,0,0,0,0,0,0,3,0,0,0,2,5
MESH:C536201,1758,1,1,0,0,0,0,0,0,0,0,0,0,1,1
MESH:C536201,259,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MESH:C536201,2688,1,1,0,0,0,0,0,0,0,0,0,0,1,5
MESH:C536201,23169,1,1,0,0,0,0,0,0,2,0,0,0,1,3
MESH:C536201,51025,1,1,0,0,0,0,0,0,1,0,0,0,1,1
MESH:C536201,1437,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MESH:C536201,2523,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MESH:C536201,3636,1,1,0,0,0,0,0,0,2,2,0,0,1,2
MESH:C536201,5047,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MESH:C536201,2582,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MESH:C536201,250,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:C536201,249,1,0,0,0,0,0,0,0,0,0,0,0,1,1
MESH:C536201,10058,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:C536201,26229,1,0,0,0,0,0,0,0,2,2,0,0,1,3
MESH:C536201,64132,1,0,0,0,0,0,0,0,1,1,0,0,1,1
MESH:C536201,64131,1,0,0,0,0,0,0,0,2,1,0,0,1,5
MESH:C536201,56925,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:C536201,11096,1,0,0,0,0,0,0,0,4,0,0,0,1,5
MESH:C536201,9507,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:C536201,7045,1,0,0,0,0,0,0,0,0,0,0,0,1,1
MESH:C536201,4070,1,0,0,0,0,0,0,0,2,0,0,0,1,2
MESH:C536201,25987,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:C536201,102723407,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:C536201,2524,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:C536201,3630,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:C536201,3990,1,0,0,0,0,0,0,0,0,0,0,0,1,1
MESH:C536201,4035,1,0,0,0,0,0,0,0,0,0,0,0,1,1
MESH:C536201,2683,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:C536201,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:C536201,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:C536201,949,1,0,0,0,0,0,0,0,0,0,0,0,1,2
MESH:C536201,4023,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:C536201,213,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:C536817,126792,2,5,0,0,2,0,0,1,7,3,0,0,2,13
MESH:C536817,8558,1,1,0,0,0,0,0,0,1,0,0,0,1,3
MESH:C536817,11285,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:C536817,91252,1,0,0,0,0,0,0,0,0,1,0,0,1,1
MESH:C535786,2688,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MESH:D007873,2153,3,4,1,0,1,1,0,1,7,1,0,0,3,15
MESH:D007873,5308,1,2,3,0,0,0,1,0,13,0,0,0,1,13
MESH:D007873,64399,25,22,0,0,0,0,0,0,4,0,0,0,11,52
MESH:D007873,4524,3,6,2,0,2,0,0,0,24,4,0,0,3,37
MESH:D007873,1277,2,2,3,0,0,0,0,0,12,2,0,0,2,21
MESH:D007873,1280,2,3,1,0,3,0,0,1,17,5,0,0,2,32
MESH:D007873,2147,4,4,1,0,1,0,0,0,12,1,0,0,4,27
MESH:D007873,7124,1,2,0,0,0,0,2,0,2,0,0,0,1,5
MESH:D007873,3146,2,4,0,0,0,0,1,1,2,0,0,0,2,13
MESH:D007873,5973,5,2,0,0,0,0,1,0,0,0,0,0,2,8
MESH:D007873,3552,1,2,0,0,0,0,1,1,5,0,0,0,1,6
MESH:D007873,3569,2,5,0,0,0,0,0,0,3,0,0,0,2,14
MESH:D007873,721,1,1,0,0,0,0,0,1,1,0,0,0,1,5
MESH:D007873,10482,2,2,0,0,0,0,0,0,0,0,0,0,1,4
MESH:D007873,7422,3,1,0,0,0,0,0,0,0,0,0,0,1,3
MESH:D007873,5362,3,1,0,0,0,0,0,0,0,0,0,0,2,8
MESH:D007873,875,1,2,0,0,0,0,0,0,2,0,0,0,1,4
MESH:D007873,2688,1,2,0,0,0,0,0,0,8,0,0,0,1,16
MESH:D007873,5573,1,2,0,0,0,0,0,0,5,0,0,0,1,8
MESH:D007873,23588,2,1,0,0,0,0,0,0,0,0,0,0,1,2
MESH:D007873,8195,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MESH:D007873,7432,1,1,0,0,0,0,0,0,0,0,0,0,1,5
MESH:D007873,5320,1,1,0,0,0,0,0,0,2,0,0,0,1,2
MESH:D007873,23013,1,1,0,0,0,0,0,0,0,0,0,0,1,4
MESH:D007873,80757,1,1,0,0,0,0,0,0,0,0,0,0,1,4
MESH:D007873,319,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MESH:D007873,6280,1,1,0,0,0,0,0,0,0,0,0,0,1,8
MESH:D007873,5004,1,1,0,0,0,0,0,0,1,0,0,0,1,12
MESH:D007873,345,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MESH:D007873,3075,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MESH:D007873,348,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MESH:D007873,6279,1,1,0,0,0,0,0,0,1,0,0,0,1,7
MESH:D007873,462,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MESH:D007873,5624,1,1,0,0,0,0,0,0,0,0,0,0,1,4
MESH:D007873,2157,1,1,0,0,0,0,0,0,0,0,0,0,1,5
MESH:D007873,1161,1,1,0,0,0,0,0,0,0,0,0,0,1,4
MESH:D007873,114131,1,1,0,0,0,0,0,0,0,0,0,0,1,3
MESH:D007873,3553,2,0,0,0,0,0,0,0,2,0,0,0,2,12
MESH:D007873,2335,2,0,0,0,0,0,0,0,2,0,0,0,1,9
MESH:D007873,7431,2,0,0,0,0,0,0,0,0,0,0,0,1,2
MESH:D007873,633,1,0,0,0,0,0,0,0,1,0,0,0,1,2
MESH:D007873,4982,1,0,0,0,0,0,0,0,1,0,0,0,1,2
MESH:D007873,5111,1,0,0,0,0,0,0,0,1,0,0,0,1,3
MESH:D007873,121340,1,0,0,0,0,0,0,0,0,0,0,0,1,3
MESH:D007873,8600,1,0,0,0,0,0,0,0,1,0,0,0,1,3
MESH:D007873,847,1,0,0,0,0,0,0,0,0,0,0,0,1,3
MESH:D007873,43,1,0,0,0,0,0,0,0,0,0,0,0,1,5
MESH:D007873,6647,1,0,0,0,0,0,0,0,2,0,0,0,1,6
MESH:D007873,373156,1,0,0,0,0,0,0,0,0,0,0,0,1,1
MESH:D007873,3479,1,0,0,0,0,0,0,0,0,0,0,0,1,2
MESH:D007873,2691,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:D007873,5741,1,0,0,0,0,0,0,0,6,0,0,0,1,7
MESH:D007873,6199,1,0,0,0,0,0,0,0,0,0,0,0,1,1
MESH:D007873,8322,1,0,0,0,0,0,0,0,5,1,0,0,1,5
MESH:D007873,23554,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:D007873,4041,1,0,0,0,0,0,0,0,1,0,0,0,1,1
MESH:D007873,4693,1,0,0,0,0,0,0,0,1,1,0,0,1,1
MESH:D007873,56925,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:D007873,3240,1,0,0,0,0,0,0,0,0,0,0,0,1,11
MESH:D007873,1351,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:D007873,78996,1,0,0,0,0,0,0,0,0,0,0,0,1,1
MESH:D007873,10687,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:D007873,3549,1,0,0,0,0,0,0,0,0,0,0,0,1,4
MESH:D007873,7040,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:D007873,2158,1,0,0,0,0,0,0,0,0,0,0,0,1,6
MESH:D007873,3029,1,0,0,0,0,0,0,0,1,0,0,0,1,3
MESH:D007873,4018,1,0,0,0,0,0,0,0,0,0,0,0,1,3
MESH:D007873,1836,1,0,0,0,0,0,0,0,2,0,0,0,1,2
MESH:D007873,7415,1,0,0,0,0,0,0,0,1,1,0,0,1,2
MESH:D007873,2520,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:D007873,23336,1,0,0,0,0,0,0,0,0,0,0,0,1,2
MESH:D007873,50489,1,0,0,0,0,0,0,0,1,0,0,0,1,2
MESH:D007873,5447,1,0,0,0,0,0,0,0,0,0,0,0,1,1
MESH:D007873,909,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:D007873,3753,1,0,0,0,0,0,0,0,0,0,0,0,1,7
MESH:D007873,968,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:D007873,7345,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:D007873,3655,1,0,0,0,0,0,0,0,0,0,0,0,1,3
MESH:D007873,3673,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:D007873,3678,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MESH:D007873,3683,1,0,0,0,0,0,0,0,0,0,0,0,1,1
MESH:C562492,4920,12,7,0,0,0,0,2,1,35,8,0,1,9,46
MESH:C562492,7474,12,11,0,0,0,0,0,1,14,7,1,0,8,24
MESH:C562492,1855,7,8,0,0,0,0,1,0,12,8,3,0,4,27
MESH:C562492,1857,5,4,0,0,0,0,1,1,10,2,1,0,3,11
MESH:C562492,144165,1,1,0,0,0,0,1,1,4,0,0,0,1,4
MESH:C562492,387,2,2,0,0,0,0,1,0,8,0,0,0,2,12
MESH:C562492,6259,1,1,0,0,0,0,1,0,0,0,0,0,1,1
